"(0,0)","(0,1)","(0,2)","(0,3)","(0,4)","(0,5)","(1,0)","(1,1)","(1,2)","(1,3)","(1,4)","(1,5)","(2,0)","(2,1)","(2,2)","(2,3)","(2,4)","(2,5)","(3,0)","(3,1)","(3,2)","(3,3)","(3,4)","(3,5)","(4,0)","(4,1)","(4,2)","(4,3)","(4,4)","(4,5)","(5,0)","(5,1)","(5,2)","(5,3)","(5,4)","(5,5)"
49.001,0.0,44.173,43.004,42.313,43.467,47.394,44.884,43.560,43.428,0.0,41.116,45.949,44.587,42.297,42.208,42.140,40.972,44.555,43.453,42.234,40.149,40.870,41.062,43.313,0.0,0.0,0.0,38.626,39.743,41.938,40.730,39.536,38.357,37.659,38.482
49.511,0.0,44.670,43.502,42.764,43.918,47.904,45.394,44.069,43.935,0.0,41.567,46.459,45.097,42.807,42.715,42.647,41.471,45.065,43.963,42.744,40.656,41.375,41.561,43.823,0.0,0.0,0.0,39.128,40.240,42.448,41.240,40.046,38.867,38.159,38.974
50.016,0.0,45.164,43.995,43.210,44.364,48.409,45.899,44.572,44.438,0.0,42.013,46.964,45.602,43.311,43.217,43.148,41.966,45.570,44.468,43.248,41.158,41.875,42.055,44.328,0.0,0.0,0.0,39.626,40.734,42.953,41.745,40.551,39.372,38.656,39.466
50.516,0.0,45.654,44.485,43.652,44.806,48.909,46.399,45.071,44.935,0.0,42.455,47.464,46.102,43.811,43.714,43.645,42.456,46.069,44.968,43.748,41.655,42.371,42.546,44.828,0.0,0.0,0.0,40.121,41.224,43.453,42.244,41.051,39.872,39.149,39.955
51.010,0.0,46.140,44.970,44.090,45.244,49.404,46.893,45.565,45.428,0.0,42.893,47.959,46.597,44.306,44.207,44.137,42.942,46.564,45.463,44.243,42.147,42.863,43.032,45.323,0.0,0.0,0.0,40.611,41.709,43.948,42.739,41.546,40.367,39.639,40.440
51.500,0.0,46.621,45.452,44.523,45.677,49.894,47.383,46.054,45.916,0.0,43.326,48.449,47.087,44.796,44.695,44.625,43.423,47.054,45.953,44.733,42.635,43.349,43.514,45.813,0.0,0.0,0.0,41.097,42.191,44.438,43.229,42.036,40.857,40.124,40.922
51.985,0.0,47.099,45.929,44.952,46.106,50.379,47.868,46.538,46.399,0.0,43.755,48.934,47.572,45.281,45.178,45.108,43.900,47.539,46.438,45.218,43.118,43.832,43.991,46.298,0.0,0.0,0.0,41.578,42.668,44.923,43.714,42.521,41.342,40.605,41.399
52.465,0.0,47.572,46.403,45.377,46.531,50.859,48.349,47.017,46.878,0.0,44.180,49.414,48.052,45.761,45.657,45.586,44.372,48.019,46.918,45.698,43.597,44.309,44.463,46.778,0.0,0.0,0.0,42.055,43.141,45.403,44.194,43.001,41.822,41.081,41.872
52.941,0.0,48.042,46.872,45.797,46.951,51.334,48.824,47.492,47.352,0.0,44.600,49.889,48.527,46.236,46.130,46.060,44.840,48.495,47.393,46.173,44.071,44.782,44.931,47.253,0.0,0.0,0.0,42.527,43.609,45.878,44.670,43.476,42.297,41.553,42.340
53.411,0.0,48.507,47.337,46.213,47.368,51.805,49.294,47.962,47.821,0.0,45.016,50.360,48.998,46.706,46.600,46.529,45.303,48.965,47.864,46.644,44.540,45.250,45.395,47.724,0.0,0.0,0.0,42.995,44.073,46.349,45.140,43.947,42.768,42.021,42.804
53.877,0.0,48.968,47.798,46.625,47.780,52.271,49.760,48.427,48.286,0.0,45.428,50.826,49.464,47.172,47.064,46.993,45.761,49.431,48.330,47.110,45.005,45.714,45.854,48.190,0.0,0.0,0.0,43.458,44.532,46.815,45.606,44.412,43.234,42.484,43.263
54.339,0.0,49.425,48.255,47.048,48.188,52.732,50.222,48.888,48.746,0.0,45.836,51.287,49.925,47.633,47.525,47.453,46.215,49.892,48.791,47.571,45.465,46.173,46.308,48.651,0.0,0.0,0.0,43.917,44.987,47.276,46.067,44.874,43.695,42.942,43.718
54.795,0.0,49.877,48.707,47.493,48.593,53.188,50.678,49.344,49.201,0.0,46.240,51.744,50.382,48.090,47.980,47.908,46.665,50.349,49.248,48.028,45.920,46.628,46.758,49.108,0.0,0.0,0.0,44.371,45.438,47.733,46.524,45.330,44.152,43.396,44.169
55.247,0.0,50.326,49.156,47.940,48.998,53.641,51.130,49.796,49.653,0.0,46.641,52.196,50.834,48.542,48.431,48.359,47.110,50.801,49.700,48.480,46.371,47.079,47.204,49.560,0.0,0.0,0.0,44.821,45.884,48.185,46.976,45.782,44.604,43.845,44.615
55.695,0.0,50.770,49.600,48.383,49.403,54.088,51.578,50.243,50.099,0.0,47.041,52.643,51.281,48.989,48.878,48.806,47.551,51.249,50.147,48.927,46.818,47.525,47.645,50.007,0.0,0.0,0.0,45.266,46.325,48.632,47.423,46.230,45.051,44.291,45.057
56.138,0.0,51.210,50.040,48.823,49.808,54.531,52.021,50.686,50.542,0.0,47.442,53.086,51.724,49.433,49.321,49.248,47.988,51.692,50.590,49.370,47.260,47.966,48.083,50.450,0.0,0.0,0.0,45.707,46.763,49.075,47.867,46.673,45.494,44.731,45.495
56.576,0.0,51.646,50.476,49.259,50.213,54.970,52.459,51.124,50.980,0.0,47.842,53.525,52.163,49.871,49.758,49.686,48.421,52.130,51.029,49.809,47.698,48.404,48.516,50.889,0.0,0.0,0.0,46.144,47.196,49.514,48.305,47.112,45.933,45.168,45.928
57.011,0.0,52.078,50.908,49.690,50.616,55.404,52.894,51.558,51.413,0.0,48.241,53.959,52.597,50.305,50.192,50.120,48.851,52.564,51.463,50.243,48.132,48.837,48.945,51.323,0.0,0.0,0.0,46.576,47.625,49.948,48.739,47.546,46.367,45.600,46.358
57.440,0.0,52.506,51.336,50.118,51.018,55.834,53.324,51.988,51.843,0.0,48.640,54.389,53.027,50.735,50.622,50.549,49.276,52.994,51.893,50.673,48.561,49.265,49.370,51.753,0.0,0.0,0.0,47.004,48.050,50.378,49.169,47.976,46.797,46.028,46.783
57.866,0.0,52.929,51.759,50.541,51.419,56.259,53.749,52.413,52.268,0.0,49.037,54.815,53.453,51.161,51.047,50.974,49.698,53.420,52.319,51.099,48.986,49.690,49.792,52.179,0.0,0.0,0.0,47.429,48.472,50.804,49.595,48.401,47.222,46.452,47.204
